PLANT TISSUES ,,,,,,,,,,,,,,,,,,,,,,,
Type of tissue ,,Location ,,Function ,,Characteristics ,,,,,,,,,,,,,,,,,
Meristematic (Apical) ,,Found at all growing points of a plant,,leads to vertical growth of plant,,"small, usually cubical, thin cell wall, large nuclei, no vacuoles, intercellular space in none, tightly packed cells",,,,,,,,,,,,,,,,,
Cambium ,,Below the bark,,increases diameter in stem ,,"small, usually cubical, thin cell wall, large nuclei, no vacuoles, intercellular space in none, tightly packed cells",,,,,,,,,,,,,,,,,
Protective ,,"Surface of roots, stem and leaves",,provides protection ,,"Cells with thick walls, secrete waxy waterproof material ",,,,,,,,,,,,,,,,,
Supportive (Parenchyma) ,,"soft parts of the plant, cortex, pith",,"temporary support, stores food in potato ",,"Thin walled cells, oval, circular or polygonal in shape, large vacuole ",,,,,,,,,,,,,,,,,
Supportive (Collenchyma),,"Leaf stalks, below the epidermis ",,provide support,,Elongated and have a thickened cell wall ,,,,,,,,,,,,,,,,,
Supportive (Sclerenchyma),,stems and veins of leaves,,provide strength ,,"Long, narrow, dead cells, cell wall thickened by lignin",,,,,,,,,,,,,,,,,
Supportive (Chlorenchyma),,parenchymatous cells in leaves,,help to produce food by photosynthesis ,,Contain chloroplasts,,,,,,,,,,,,,,,,,
Conducting (Xylem) ,,throughout the plant,,Conducts water & minerals from roots  ,,"Elongated & thickened walled, form of tubular passages",,,,,,,,,,,,,,,,,
Xylem tracheids ,,in the xylem ,,mechanical support due to various thickenings ,,"Cells are placed end to end forming a long tube, highly lignified, large cavities without any contents ",,,,,,,,,,,,,,,,,
Xylem vessels,,in the xylem,,transport of water & minerals ,,"long, tube like structures, elongated cells placed end to end Cell wall is quite hard, thick and lignified",,,,,,,,,,,,,,,,,
Xylem parenchyma ,,in the xylem,,"Stores sugar & starch, conducts water & minerals",,living parenchyma cells associated with xylem ,,,,,,,,,,,,,,,,,
Conducting (Phloem) ,,throughout the plant,,conducts food downward to the other plants parts,,,,,,,,,,,,,,,,,,,
Sieve tubes ,,in the phloem,,transport of food from leaves to storage organs,,"elongated cells placed end to end, forming a long tube",,,,,,,,,,,,,,,,,
Phloem parenchyma,,in the phloem,,Storage of starch and other food material ,,parenchymatous tissue,,,,,,,,,,,,,,,,,
Companion cells,,in the phloem,,Help in functioning of the sieve tubes,,living parenchymatous tissue ,,,,,,,,,,,,,,,,,
Phloem fibres,,in the phloem,,support ,,sclerenchymatous tissue ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ANIMAL TISSUES,,,,,,,,,,,,,,,,,,,,,,,
Type of tissue,,Location,,Function ,,Characteristics,,,,,,,,,,,,,,,,,
Epithelial Tissue ,,"surface of the body, lines body cavities & organs",,"protection, absorbption, sensory perception, secretion ",,"Flat, cuboidal, columnar, tightly packed",,,,,,,,,,,,,,,,,
Squamous Epithelium,,"Lining the mouth, nasal cavities, blood & lymph vessels",,"protects underlying parts from mechanical injury, germs & chemicals ",,"Thin, flat, closely packed, prominent nuclei ",,,,,,,,,,,,,,,,,
Stratified Epithelium ,,Skin and Cornea,,,,Composed of strata (layered cells) ,,,,,,,,,,,,,,,,,
Cuboidal Epithelium,,"Kidney tubules, salivary & pancreatic ducts ",,,,,,,,,,,,,,,,,,,,,
Columnar Epithelium,,Inner lining of stomach and intestines,,,,Is of two types: Glandular & Ciliated,,,,,,,,,,,,,,,,,
Ciliated Epithelium,,lining of trachea,,keep lashing and throw out foreign particles ,,protoplasmic projections called cilia at their free ends ,,,,,,,,,,,,,,,,,
Glandular Epithelium,,"Inner lining of stomach and intestines, liver, salivary glands",,secrete chemical substances,,Large cells ,,,,,,,,,,,,,,,,,
Connective Tissue,,Binds one tissue with another ,,connects various organs ,,"Abundance of matrix, fewer cellular elements, fibres ",,,,,,,,,,,,,,,,,
Areolar Tissue ,,Beneath the epidermis of skin,,Makes the skin elastic and helps to withstand pulling strain,,Widely spread connective tissue in the human body ,,,,,,,,,,,,,,,,,
Adipose Tissue,,"padding under skin, eyeballs and kidneys",,Insulation for retaining body heat,,Store fat,,,,,,,,,,,,,,,,,
Ligament,,Connects Bone to bone,,,,,,,,,,,,,,,,,,,,,
Tendons,,Connects muscle to bone,,,,,,,,,,,,,,,,,,,,,
